之	1465
王	842
曰	737
不	728
子	607
於	556
以	507
而	494
吳	481
其	460
也	396
人	373
越	333
臣	329
為	322
大	299
有	295
國	295
者	290
夫	249
胥	220
吾	217
君	212
無	207
乃	203
天	183
何	181
今	174
使	164
楚	162
與	157
聞	153
三	151
所	141
是	139
知	138
可	136
死	132
二	126
公	122
欲	122
矣	120
伐	115
乎	115
將	115
年	110
得	110
諸	110
自	109
太	108
前	108
中	108
道	108
一	106
行	106
下	102
士	101
見	99
言	98
復	97
則	97
兵	96
命	96
日	94
上	90
遂	89
去	89
我	88
如	88
事	87
心	85
謂	85
孤	85
能	85
軍	85
種	84
在	84
民	82
未	81
齊	81
寡	80
入	79
令	77
侯	77
蠡	77
後	76
成	76
立	74
故	74
師	72
亡	72
願	72
父	71
相	70
生	70
從	70
殺	70
必	68
女	67
出	66
