id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type
PG54,The Marvelous Land of Oz,"Baum, L. Frank (Lyman Frank)",1856.0,1919.0,['en'],455.0,"{'Friendship -- Juvenile fiction', 'Fantasy literature', 'Oz (Imaginary place) -- Juvenile fiction', 'Witches -- Juvenile fiction', 'Youth -- Conduct of life -- Juvenile fiction', 'Voyages and travels -- Juvenile fiction', 'Kings and rulers -- Juvenile fiction', 'Conduct of life -- Juvenile fiction', 'Women soldiers -- Juvenile fiction', 'Practical jokes -- Juvenile fiction', 'Queens -- Juvenile fiction', 'Magic -- Juvenile fiction'}",Text
PG55,The Wonderful Wizard of Oz,"Baum, L. Frank (Lyman Frank)",1856.0,1919.0,['en'],4219.0,"{'Toto (Fictitious character) -- Juvenile fiction', 'Fantasy literature', 'Tin Woodman (Fictitious character) -- Juvenile fiction', 'Courage -- Juvenile fiction', 'Scarecrow (Fictitious character from Baum) -- Juvenile fiction', 'Oz (Imaginary place) -- Juvenile fiction', 'Good and evil -- Juvenile fiction', 'Cowardly Lion (Fictitious character) -- Juvenile fiction', 'Home -- Juvenile fiction', 'Cyclones -- Juvenile fiction', 'Gale, Dorothy (Fictitious character) -- Juvenile fiction', 'Wizard of Oz (Fictitious character) -- Juvenile fiction', 'Dreams -- Juvenile fiction', 'Witches -- Juvenile fiction'}",Text
PG56,NREN for All: Insurmountable Opportunity,"Polly, Jean Armour",,,['en'],9.0,"{'National Research and Education Network (Computer network)', 'Internet'}",Text
PG57,Aladdin and the Magic Lamp,Unknown,,,['en'],151.0,"{""Children's stories"", 'Arabs -- Folklore', 'Folklore -- Arab countries', 'Fairy tales'}",Text
PG58,Paradise Regained,"Milton, John",1608.0,1674.0,['en'],160.0,"{'English poetry', 'Jesus Christ -- Temptation -- Poetry', 'Epic poetry', 'Bible. Gospels -- History of Biblical events -- Poetry'}",Text
PG59,Discourse on the Method of Rightly Conducting One's Reason and of Seeking Truth in the Sciences,"Descartes, René",1596.0,1650.0,['en'],824.0,"{'Science -- Methodology', 'Methodology'}",Text
PG60,The Scarlet Pimpernel,"Orczy, Emmuska Orczy, Baroness",1865.0,1947.0,['en'],773.0,"{'Blakeney, Percy, Sir (Fictitious character) -- Fiction', 'Nobility -- Fiction', 'British -- France -- Fiction', 'France -- History -- Revolution, 1789-1799 -- Fiction', 'Adventure stories', 'Historical fiction'}",Text
PG61,The Communist Manifesto,"Engels, Friedrich",1820.0,1895.0,['en'],2608.0,"{'Socialism', 'Communism'}",Text
PG62,A Princess of Mars,"Burroughs, Edgar Rice",1875.0,1950.0,['en'],1547.0,"{'Dejah Thoris (Fictitious character) -- Fiction', 'Science fiction', 'Mars (Planet) -- Fiction', 'Princesses -- Fiction', 'Carter, John (Fictitious character) -- Fiction'}",Text
PG63,"The Number ""e""",Unknown,,,['en'],18.0,"{'Mathematical constants', 'Mathematics'}",Text
PG64,The Gods of Mars,"Burroughs, Edgar Rice",1875.0,1950.0,['en'],538.0,"{'Life on other planets -- Fiction', 'Dejah Thoris (Fictitious character) -- Fiction', 'Science fiction', 'Mars (Planet) -- Fiction', 'Carter, John (Fictitious character) -- Fiction'}",Text
PG65,"The First 100,000 Prime Numbers",Unknown,,,['en'],48.0,"{'Numbers, Prime', 'Mathematics'}",Dataset
PG66,The Dawn of Amateur Radio in the U.K. and Greece: A Personal View,"Joly, Norman F.",,,['en'],12.0,{'Radio broadcasting'},Text
PG67,The Black Experience in America,"Coombs, Norman",1932.0,,['en'],86.0,"{'African Americans -- History', 'Slavery -- United States -- History'}",Text
PG68,Warlord of Mars,"Burroughs, Edgar Rice",1875.0,1950.0,['en'],459.0,"{'Dejah Thoris (Fictitious character) -- Fiction', 'Mars (Planet) -- Fiction', 'Carter, John (Fictitious character) -- Fiction', 'Science fiction'}",Text
PG69,The 32nd Mersenne Prime: Predicted by Mersenne,"Slowinski, David",,,['en'],16.0,"{'Numbers, Prime', 'Number theory'}",Text
PG70,What Is Man? and Other Essays,"Twain, Mark",1835.0,1910.0,['en'],637.0,{'American essays'},Text
PG71,On the Duty of Civil Disobedience,"Thoreau, Henry David",1817.0,1862.0,['en'],777.0,"{'Civil disobedience', 'Government, Resistance to'}",Text
PG72,"Thuvia, Maid of Mars","Burroughs, Edgar Rice",1875.0,1950.0,['en'],377.0,"{'Martians -- Fiction', 'Mars (Planet) -- Fiction', 'Science fiction'}",Text
PG73,The Red Badge of Courage: An Episode of the American Civil War,"Crane, Stephen",1871.0,1900.0,['en'],672.0,"{'Virginia -- History -- Civil War, 1861-1865 -- Fiction', 'United States -- History -- Civil War, 1861-1865 -- Fiction', 'War stories', 'Chancellorsville, Battle of, Chancellorsville, Va., 1863 -- Fiction', 'Historical fiction'}",Text
PG74,The Adventures of Tom Sawyer,"Twain, Mark",1835.0,1910.0,['en'],11645.0,"{'Male friendship -- Fiction', 'Bildungsromans', 'Runaway children -- Fiction', 'Missouri -- Fiction', 'Humorous stories', 'Child witnesses -- Fiction', 'Boys -- Fiction', 'Adventure stories', 'Sawyer, Tom (Fictitious character) -- Fiction', 'Mississippi River Valley -- Fiction'}",Text
PG75,E-mail 101,"Goodwin, John E.",,,['en'],52.0,{'Electronic mail systems'},Text
PG76,Adventures of Huckleberry Finn,"Twain, Mark",1835.0,1910.0,['en'],7685.0,"{'Finn, Huckleberry (Fictitious character) -- Fiction', 'Male friendship -- Fiction', 'Fugitive slaves -- Fiction', 'Bildungsromans', 'Runaway children -- Fiction', 'Missouri -- Fiction', 'Humorous stories', 'Boys -- Fiction', 'Mississippi River -- Fiction', 'Adventure stories', 'Race relations -- Fiction'}",Text
PG77,The House of the Seven Gables,"Hawthorne, Nathaniel",1804.0,1864.0,['en'],559.0,"{'Salem (Mass.) -- Fiction', 'Haunted houses -- Fiction', 'Domestic fiction', 'Paranormal fiction', 'Historical fiction'}",Text
PG78,Tarzan of the Apes,"Burroughs, Edgar Rice",1875.0,1950.0,['en'],1460.0,"{'Tarzan (Fictitious character) -- Fiction', 'Africa -- Fiction', 'British -- Africa -- Fiction', 'Adventure stories', 'Wild men -- Fiction', 'Fantasy fiction'}",Text
PG79,Terminal Compromise,"Schwartau, Winn",,,['en'],21.0,"{'Computer security -- Fiction', 'Didactic fiction', 'Privacy, Right of -- Fiction', 'Records -- Access control -- Fiction'}",Text
PG80,The Online World,"De Presno, Odd",,,['en'],30.0,{'Internet'},Text
PG81,The Return of Tarzan,"Burroughs, Edgar Rice",1875.0,1950.0,['en'],477.0,"{'Tarzan (Fictitious character) -- Fiction', 'Fantasy fiction', 'Adventure stories'}",Text
PG82,Ivanhoe: A Romance,"Scott, Walter",1771.0,1832.0,['en'],1567.0,"{'Normans -- Great Britain -- Fiction', 'Ivanhoe, Wilfred of, Sir (Fictitious character) -- Fiction', 'Love stories', 'Great Britain -- History -- Richard I, 1189-1199 -- Fiction', 'Triangles (Interpersonal relations) -- Fiction', 'Knights and knighthood -- Fiction', 'Jews -- England -- Fiction', 'Anglo-Saxons -- Fiction', 'Historical fiction'}",Text
PG83,"From the Earth to the Moon; and, Round the Moon","Verne, Jules",1828.0,1905.0,['en'],483.0,"{'Space ships -- Fiction', 'Science fiction', 'Space flight to the moon -- Fiction', 'Manned space flight -- Fiction', 'Moon -- Fiction'}",Text
PG84,"Frankenstein; Or, The Modern Prometheus","Shelley, Mary Wollstonecraft",1797.0,1851.0,['en'],9294.0,"{'Scientists -- Fiction', ""Frankenstein's monster (Fictitious character) -- Fiction"", 'Science fiction', 'Frankenstein, Victor (Fictitious character) -- Fiction', 'Horror tales', 'Monsters -- Fiction', 'Gothic fiction (Literary genre)'}",Text
PG85,The Beasts of Tarzan,"Burroughs, Edgar Rice",1875.0,1950.0,['en'],326.0,"{'Tarzan (Fictitious character) -- Fiction', 'Fantasy fiction', 'Adventure stories', 'Jungle animals -- Fiction'}",Text
PG86,A Connecticut Yankee in King Arthur's Court,"Twain, Mark",1835.0,1910.0,['en'],1660.0,"{'Satire', 'Britons -- Fiction', 'Arthurian romances -- Adaptations', 'Knights and knighthood -- Fiction', 'Kings and rulers -- Fiction', 'Fantasy fiction', 'Time travel -- Fiction', 'Americans -- Great Britain -- Fiction'}",Text
PG87,The 1993 CIA World Factbook,United States. Central Intelligence Agency,,,['en'],34.0,"{'Political statistics -- Handbooks, manuals, etc.', 'Political science -- Handbooks, manuals, etc.', 'World politics -- Handbooks, manuals, etc.', 'Geography -- Handbooks, manuals, etc.'}",Text
PG88,Price/Cost Indexes from 1875 to 1989; Estimated to 2010,"Hart, Michael",1947.0,2011.0,['en'],13.0,{'Cost and standard of living'},Text
PG89,"North American Free Trade Agreement, 1992 Oct. 7 Tariff Phasing Descriptions",Canada,,,['en'],18.0,"{'Foreign trade regulation -- North America', 'Free trade -- Canada', 'Free trade -- United States', 'Free trade -- Mexico', 'Tariff -- Law and legislation -- North America', 'Canada. Treaties, etc. 1992 Oct. 7', 'Free trade -- North America'}",Text
PG90,The Son of Tarzan,"Burroughs, Edgar Rice",1875.0,1950.0,['en'],297.0,"{'Tarzan (Fictitious character) -- Fiction', 'Fantasy fiction', 'Adventure stories'}",Text
PG91,Tom Sawyer Abroad,"Twain, Mark",1835.0,1910.0,['en'],167.0,"{'Americans -- Foreign countries -- Fiction', 'Balloon ascensions -- Fiction', 'Sawyer, Tom (Fictitious character) -- Fiction', 'Adventure stories'}",Text
PG92,Tarzan and the Jewels of Opar,"Burroughs, Edgar Rice",1875.0,1950.0,['en'],220.0,"{'Tarzan (Fictitious character) -- Fiction', 'Fantasy fiction', 'Adventure stories'}",Text
PG93,"Tom Sawyer, Detective","Twain, Mark",1835.0,1910.0,['en'],116.0,"{'Sawyer, Tom (Fictitious character) -- Fiction', 'Mystery fiction'}",Text
PG94,Alexander's Bridge,"Cather, Willa",1873.0,1947.0,['en'],78.0,"{'Mistresses -- Fiction', 'Married people -- Fiction', 'London (England) -- Fiction', 'Bridges -- Design and construction -- Fiction', 'Psychological fiction', 'Civil engineers -- Fiction', 'Boston (Mass.) -- Fiction'}",Text
PG95,The Prisoner of Zenda,"Hope, Anthony",1863.0,1933.0,['en'],410.0,"{'Impostors and imposture -- Fiction', 'British -- Foreign countries -- Fiction', 'Adventure stories'}",Text
PG96,The Monster Men,"Burroughs, Edgar Rice",1875.0,1950.0,['en'],145.0,"{'Fantasy fiction', 'Science fiction'}",Text
PG97,Flatland: A Romance of Many Dimensions,"Abbott, Edwin Abbott",1838.0,1926.0,['en'],438.0,{'Fourth dimension'},Text
PG98,A Tale of Two Cities,"Dickens, Charles",1812.0,1870.0,['en'],11283.0,"{'French -- England -- London -- Fiction', 'Lookalikes -- Fiction', 'Paris (France) -- History -- 1789-1799 -- Fiction', 'Executions and executioners -- Fiction', 'London (England) -- History -- 18th century -- Fiction', 'France -- History -- Revolution, 1789-1799 -- Fiction', 'British -- France -- Paris -- Fiction', 'War stories', 'Historical fiction'}",Text
PG99,Collected Articles of Frederick Douglass,"Douglass, Frederick",1818.0,1895.0,['en'],97.0,"{'Essays', 'African American abolitionists', 'Douglass, Frederick, 1818-1895', 'Slavery', 'Reconstruction (U.S. history, 1865-1877)'}",Text
