年	2852
紀	1502
王	1174
十	1010
之	985
書	897
二	852
一	753
云	731
本	730
為	721
公	721
三	663
注	603
卷	578
作	562
於	556
記	553
案	538
曰	520
子	519
史	508
文	504
引	498
竹	490
校	470
所	464
此	457
以	452
四	425
五	416
六	397
水	396
存	381
真	372
八	365
輯	364
七	355
晉	352
世	345
惠	334
侯	329
是	324
九	319
經	319
後	315
不	306
有	302
即	299
魏	294
見	284
于	284
國	273
當	269
與	269
也	265
家	263
隱	263
太	262
據	260
其	259
補	249
而	247
傳	242
周	242
成	242
平	235
索	230
列	224
秦	222
字	221
亦	219
御	216
大	215
訂	212
元	210
今	206
覽	205
韓	205
梁	201
齊	198
氏	197
甲	195
又	193
伐	192
汲	190
立	190
誤	188
皆	188
人	181
趙	181
同	180
者	176
在	176
古	175
證	174
名	172
下	168
帝	167
無	165
